"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @BlackburnRuth: @2ndfor1st #MDs raking in #bigpharma #CDC #payola for pushing #neurotoxic poison
https://t.co/uIqZyWCwxi https://t.co/MG…",FALSE,0,NA,2016-10-15 04:47:20,FALSE,NA,"787152855702523905",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2ndfor1st",1,TRUE,FALSE,NA,NA
"2","@2ndfor1st #MDs raking in #bigpharma #CDC #payola for pushing #neurotoxic poison
https://t.co/uIqZyWCwxi https://t.co/MGZRVllEjD",FALSE,1,"2ndfor1st",2016-10-15 04:44:41,FALSE,"787150745879535616","787152189676331008","385827528","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BlackburnRuth",1,FALSE,FALSE,NA,NA
"3","RT @BlackburnRuth: #MDs scoffing up huge #bigpharma payola for poisoning kids with #neurotoxic #vaccines 
https://t.co/uIqZyWCwxi https://t…",FALSE,0,NA,2016-10-15 04:18:03,FALSE,NA,"787145488403496964",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rharrisonfries",1,TRUE,FALSE,NA,NA
"4","#MDs scoffing up huge #bigpharma payola for poisoning kids with #neurotoxic #vaccines 
https://t.co/uIqZyWCwxi https://t.co/P2J0x5u1QY",FALSE,0,NA,2016-10-15 04:14:22,FALSE,NA,"787144561189490689",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BlackburnRuth",1,FALSE,FALSE,NA,NA
"5","Mds toca nesse meu celular pq ele ta pertubado <ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><ed><U+00AE><U+00B8><ed><U+00BC><U+00B4><U+274C>

#Mds",FALSE,0,NA,2016-10-15 03:39:44,FALSE,NA,"787135844830306304",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","samia_bsg",0,FALSE,FALSE,NA,NA
"6","Si #DeLima ginagaya si madam #MDS. Excuse me lang po #DeLima di po bagay sa inyo kyo po ang Mother of all drug lords. #DU30",FALSE,2,NA,2016-10-15 03:22:02,FALSE,NA,"787131389288165376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kakai23438683",0,FALSE,FALSE,NA,NA
"7","The latest Leukemia Daily! https://t.co/0OTIBm3QYv #leusm #mds",FALSE,0,NA,2016-10-15 03:17:33,FALSE,NA,"787130261024694272",NA,"<a href=""http://paper.li"" rel=""nofollow"">Paper.li</a>","TapKadia",0,FALSE,FALSE,NA,NA
"8","A gente é doente só pode. A gente está conversando sobre isso porque ela está com medo de uma porta batendo... #Mds https://t.co/vtovBsDnhp",FALSE,1,NA,2016-10-15 02:10:16,FALSE,NA,"787113329823186944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zorzo17henrique",0,FALSE,FALSE,NA,NA
"9","Thanks for the follow @RealMedRookie And thanks for supporting #medical pro development #health #medicine #doctors #MDs #ODs",FALSE,2,NA,2016-10-15 02:00:04,FALSE,NA,"787110762250661889",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","detlistener",0,FALSE,FALSE,NA,NA
"10","RT @DrBubbs: Great day speaking @IHSymposium with legends @DavidPerlmutter &amp; #DrBrady. Thx to all the #MDs &amp; #docs who attended! #Nutrition…",FALSE,0,NA,2016-10-15 01:38:53,FALSE,NA,"787105434083602432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Gut_Goddess",1,TRUE,FALSE,NA,NA
"11","@amandamanopo pokoknya trus berkarya manda,bnyk yg nunggu karya2 km selanjutnya.. ttp slalu rendah hati ya man <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>#MDS",FALSE,0,"amandamanopo",2016-10-15 01:13:08,FALSE,NA,"787098951212118016","207087022","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fikaseptianii",0,FALSE,FALSE,NA,NA
"12","@trutherbotred #VaxWhore #MDs scoffing up huge #bigpharma payola for poisoning kids
https://t.co/uIqZyWCwxi https://t.co/P2J0x5u1QY",FALSE,0,"trutherbotred",2016-10-15 00:54:22,FALSE,NA,"787094229914755072","264243333","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BlackburnRuth",0,FALSE,FALSE,NA,NA
"13","Great day speaking @IHSymposium with legends @DavidPerlmutter &amp; #DrBrady. Thx to all the #MDs &amp; #docs who attended!… https://t.co/bPobiHg9eN",FALSE,2,NA,2016-10-15 00:52:19,TRUE,NA,"787093714472755200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrBubbs",1,FALSE,FALSE,NA,NA
"14","@_Eduduzinha  2 de 4

#NaoChegaLogo
#VouAcabarComMinhasUnhas
#Mds https://t.co/YEXzZ5w6rL",FALSE,0,"_Eduduzinha",2016-10-15 00:50:26,FALSE,NA,"787093241694912512","1921475234","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marcioaguiar88",0,FALSE,FALSE,NA,NA
"15","@trutherbotred #VaxWhore #MDs scoffing up huge #bigpharma payola for poisoning kids
https://t.co/uIqZyWCwxi https://t.co/P2J0x5u1QY",FALSE,0,"trutherbotred",2016-10-15 00:34:24,FALSE,"786737063718559745","787089203041488896","264243333","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BlackburnRuth",0,FALSE,FALSE,NA,NA
"16","Confira este musical.ly: https://t.co/BS25rOGYm5 (feito por unicorniana9 com @musicallyapp) ##mds https://t.co/1lqdKt5lsG",FALSE,0,NA,2016-10-14 21:55:33,FALSE,NA,"787049227893473280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Unicorniana9",0,FALSE,FALSE,NA,NA
"17","Job Opportunity: MDS Coordinator with a Subacute/Skilled Nursing Facility  in Brooklyn, NY https://t.co/U9u8VaqYFG #MDS",FALSE,0,NA,2016-10-14 21:43:50,FALSE,NA,"787046280971313152",NA,"<a href=""http://www.bullhornreach.com/"" rel=""nofollow"">Bullhorn Reach</a>","DNGPlacement",0,FALSE,FALSE,NA,NA
"18","Mi ejercicio favorito <U+23F0>#relojito #mds #likeparaquelleguealpiso @… https://t.co/16orqmfVe1",FALSE,0,NA,2016-10-14 20:40:08,FALSE,NA,"787030251297710081",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Morganmorganzel",0,FALSE,FALSE,"-107.3749","24.81359"
